id;password_hash;first_name;last_name;email;timezone;last_login_time;image_url;role;title;manager_id;status;is_deleted;lang_key;activation_key;reset_key;created_by;created_at;reset_date;modified_by;modified_at;about;address;city;state;country
1;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;John;Doe;admin@flowinquiry.io;America/Los_Angeles;;;USER;Software Engineer;;ACTIVE;false;en;ACT123;RST123;;;;;;Experienced software engineer;123 Main St;San Francisco;CA;US
2;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Jane;Smith;user@flowinquiry.io;America/New_York;;;ADMIN;Product Manager;1.0;ACTIVE;false;en;ACT456;RST456;;;;;;Product manager with 10 years of experience;456 Oak St;New York;NY;US
3;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Alice;Johnson;alice.johnson@flowinquiry.io;America/Chicago;;;USER;UX Designer;2.0;PENDING;false;en;ACT789;RST789;;;;;;Creative UX designer;789 Pine Ave;Chicago;IL;US
4;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Bob;Brown;bob.brown@flowinquiry.io;America/Los_Angeles;;;MANAGER;Team Lead;1.0;ACTIVE;false;en;ACT321;RST321;;;;;;Experienced team leader;101 Maple Dr;Los Angeles;CA;US
5;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Charlie;Green;charlie.green@flowinquiry.io;America/New_York;;;USER;QA Engineer;2.0;ACTIVE;false;en;ACT654;RST654;;;;;;Quality assurance specialist;202 Birch Ln;Boston;MA;US
6;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Diana;Prince;diana.prince@flowinquiry.io;America/Denver;;;USER;Project Coordinator;3.0;PENDING;false;en;ACT987;RST987;;;;;;Project coordinator;303 Cedar Rd;Denver;CO;US
7;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Edward;Nash;edward.nash@flowinquiry.io;America/Los_Angeles;;;USER;Data Analyst;3.0;ACTIVE;false;en;ACT741;RST741;;;;;;Data analyst expert;404 Elm St;Seattle;WA;US
8;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Fiona;White;fiona.white@flowinquiry.io;America/Chicago;;;USER;Marketing Specialist;4.0;ACTIVE;false;en;ACT852;RST852;;;;;;Specialist in digital marketing;505 Walnut St;Austin;TX;US
9;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;George;King;george.king@flowinquiry.io;America/New_York;;;ADMIN;IT Manager;;PENDING;false;en;ACT963;RST963;;;;;;IT manager;606 Cherry Ave;New York;NY;US
10;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Hannah;Moore;hannah.moore@flowinquiry.io;America/Denver;;;USER;HR Specialist;5.0;ACTIVE;false;en;ACT159;RST159;;;;;;Human resources expert;707 Chestnut Dr;Denver;CO;US
11;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Isaac;Young;isaac.young@flowinquiry.io;America/Chicago;;;USER;Sales Associate;6.0;ACTIVE;false;en;ACT753;RST753;;;;;;Sales associate;808 Ash St;Chicago;IL;US
12;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Julia;Reed;julia.reed@flowinquiry.io;America/Chicago;;;USER;Product Designer;5.0;ACTIVE;false;en;ACT369;RST369;;;;;;Product designer;909 Poplar St;Portland;OR;US
13;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Kevin;Wright;kevin.wright@flowinquiry.io;America/Chicago;;;USER;Software Engineer;5.0;ACTIVE;false;en;ACT258;RST258;;;;;;Software engineer;1010 Fir Ave;San Diego;CA;US
14;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Liam;Harris;liam.harris@flowinquiry.io;America/New_York;;;USER;Support Engineer;6.0;ACTIVE;false;en;ACT147;RST147;;;;;;Support engineer;1111 Cypress Dr;Philadelphia;PA;US
15;$2a$10$ItVdBLylXMw3pnv/xkf5qOzrTPos7UngeqVGiP9Z3O7WFBAp7ULry;Mia;Clark;mia.clark@flowinquiry.io;America/Los_Angeles;;;USER;Business Analyst;;ACTIVE;false;en;ACT369;RST369;;;;;;Business analyst;1212 Redwood Ln;Los Angeles;CA;US
